,Player,From,To,Price_m,Year
125,Jonás Ramalho,Girona,Osasuna,0.7,2020
130,Enric Franquesa,Villarreal,Levante,0.75,2020
132,Miguelón,Villarreal,Espanyol,0.5,2020
133,Ante Budimir,Mallorca,Osasuna,8.0,2020
134,Emerson Royal,Real Betis,Barcelona,9.0,2020
138,Alvaro Vadillo,Celta de Vigo,Espanyol,1.8,2020
141,Tomás Alarcón,O\'Higgins,Cadiz FC,2.0,2020
145,Patson Daka,RB Salzburg,Leicester City,30.0,2020
146,Roberto Soldado,Granada,Levante,0.5,2020
148,Juan Foyth,Tottenham,Villarreal,15.0,2020
150,Iván Marcone,Boca Juniors,Elche FC,3.8,2020
4,Tanguy Nianzou,Bayern Munich,Sevilla,16.0,2021
10,Mickael Malsa,Levante,Real Valladolid,0.5,2021
12,Leo Baptistao,Santos,Almeria,1.5,2021
14,Edu Exposito,Eibar,Espanyol,4.5,2021
18,Lautaro Blanco,Rosario Central,Elche,1.96,2021
20,Roger Martí,Levante,Elche,3.0,2021
21,Miguel Gutierrez,Real Madrid,Girona,4.0,2021
24,Agustín Marchesín,Porto,Celta Vigo,1.0,2021
27,Óscar Mingueza,Barcelona,Celta Vigo,3.0,2021
28,Borja Mayoral,Real Madrid,Getafe,10.0,2021
32,Jules Koundé,Sevilla,Barcelona,50.0,2021
33,Kiko Femenía,Watford,Villarreal,0.98,2021
34,Moi Gómez,Villarreal,Osasuna,1.8,2021
35,Nahuel Molina,Udinese,Atletico Madrid,20.0,2021
40,Luis Milla,Granada,Getafe,5.0,2021
41,Vedat Muriqi,Lazio,Mallorca,7.5,2021
42,Predrag Rajkovic,Stade Reims,Mallorca,2.0,2021
44,Takefusa Kubo,Real Madrid,Real Sociedad,6.5,2021
45,Kaiky,Santos,Almeria,7.0,2021
47,Robert Lewandowski,Bayern Munich,Barcelona,45.0,2021
51,Raphinha,Leeds,Barcelona,58.0,2021
54,Tonny Vilhena,Krasnodar,Espanyol,2.5,2021
55,Domingo Duarte,Granada,Getafe,1.0,2021
57,Gonzalo Plata,Sporting,Real Valladolid,3.0,2021
58,Marcao,Galatasaray,Sevilla,12.0,2021
63,Luca de la Torre,Hercules Almelo,Celta de Vigo,2.0,2021
64,Samuel Lino,Gil Vicente,Atletico Madrid,6.5,2021
65,Marko Milovanović,Partizan,Almeria,3.5,2021
67,Víctor Chust,Real Madrid,Cadiz,1.0,2021
69,Brais Mendez,Celta de Vigo,Real Sociedad,15.0,2021
78,Mohamed Ali-Cho,Angers,Real Sociedad,12.0,2021
79,Alejandro Pozo,Sevilla,Almeria,3.0,2021
80,Pablo Maffeo,Stuttgart,Mallorca,3.0,2021
82,Williot Swedberg,Hammarby,Celta de Vigo,5.0,2021
83,Hugo Duro,Getafe,Valencia,4.0,2021
84,Luiz Henrique,Fluminense,Real Betis,12.6,2021
85,Samuel Lino,Gil Vicente,Atletico Madrid,6.5,2021
87,Aurelien Tchouameni,Monaco,Real Madrid,80.0,2021
88,Srđan Babić,Red Star Belgrade,Almeria,1.1,2021
89,Monchu,Granada,Real Valladolid,1.2,2021
90,Ivan Sanchez,Birmingham,Real Valladolid,0.1,2021
94,Willian Jose,Real Sociedad,Real Betis,8.5,2021
96,Gui Guedes,Vitoria,Almeria,3.0,2021
99,Rbeun Alcaraz,Real Valladolid,Cadiz,1.0,2021
102,Ezequiel Ponce,Spartak Moscow,Elche,4.0,2021
1,DodoJan,Inter Milan,Sampdoria,5.5,2016
49,Ivan Strinic,Napoli,Sampdoria,2.0,2016
50,Duvan Zapata,Napoli,Sampdoria,8.5,2016
54,Cyril Thereau,Udinese,Fiorentina,2.0,2016
56,Alessandro Bastoni,Atalanta,Inter Milan,8.0,2016
64,Seung-Woo Lee,Barcelona,Verona,1.5,2016
67,Roberto Inglese,Verona,Napoli,10.0,2016
70,Ferdinando Del Sole,Pescara,Juventus,1.5,2016
75,Samuel Armenteros,Heracles,Benevento,2.0,2016
81,Joachim Andersen,Twente,Sampdoria,1.4,2016
89,Luca Rossettini,Torino,Genoa,2.0,2016
90,Blaise Matuidi,PSG,Juventus,20.0,2016
94,Giovanni Simeone,Genoa,Fiorentina,15.0,2016
98,Stephane Omeonga,Avellino,Genoa,0.5,2016
99,Marten de Roon,Middlesbrough,Atalanta,13.5,2016
100,Marco Benassi,Torino,Fiorentina,10.0,2016
101,Valentin Eysseric,Nice,Fiorentina,3.5,2016
102,Dalbert,Nice,Inter Milan,20.0,2016
105,Gaston Ramirez,Middlesbrough,Sampdoria,9.0,2016
109,Felipe Caicedo,Espanyol,Lazio,3.5,2016
110,Matias Vecino,Fiorentina,Inter Milan,24.0,2016
111,Riad Bajic,Konyaspor,Udinese,5.5,2016
113,Rezan Corlu,Brondby,Roma,0.6,2016
114,Bram Nuytinck,Anderlecht,Udinese,3.0,2016
115,Filippo Romagna,Juventus,Cagliari,7.6,2016
116,Edoardo Goldaniga,Palermo,Sassuolo,4.0,2016
117,Dario Del Fabro,Cagliari,Juventus,4.5,2016
119,Jordan Veretout,Aston Villa,Fiorentina,7.0,2016
121,Federico Bernardeschi,Fiorentina,Juventus,40.0,2016
123,Francesco Cassata,Juventus,Sassuolo,7.0,2016
125,Aleksandar Kolarov,Manchester City,Roma,5.0,2016
127,Mattia De Sciglio,AC Milan,Juventus,12.0,2016
132,Wojciech Szczesny,Arsenal,Juventus,12.2,2016
136,Lucas Leiva,Liverpool,Lazio,5.7,2016
137,Alex Berenguer,Osasuna,Torino,5.5,2016
138,Rafik Zekhnini,Odds BK,Fiorentina,1.5,2016
139,Lucas Biglia,Lazio,AC Milan,17.0,2016
140,Cengiz Under,Basaksehir,Roma,13.4,2016
142,Gianluca Di Chiara,Perugia,Benevento,3.0,2016
145,Leonardo Bonucci,Juventus,AC Milan,40.0,2016
147,Andrea Costa,Empoli,Benevento,1.5,2016
150,Antonio Donnarumma,Asteras Tripoli,AC Milan,1.5,2016
152,Dawid Kownacki,Lech Poznan,Sampdoria,4.0,2016
154,Manuel Puciarelli,Empoli,Verona,3.0,2016
158,Borja Valero,Fiorentina,Inter Milan,5.5,2016
160,Andrea Conti,Atalanta,AC Milan,25.0,2016
161,Timothy Castagne,Genk,Atalanta,6.0,2016
162,Matteo Pessina,AC Milan,Atalanta,1.0,2016
164,Vid Belec,Carpi,Benevento,1.75,2016
165,Milan Skriniar,Sampdoria,Inter Milan,30.0,2016
166,Gaetano Letizia,Carpi,Benevento,1.75,2016
173,Josip Ilicic,Fiorentina,Atalanta,5.5,2016
174,Adam Ounas,Bordeaux,Napoli,10.0,2016
176,Hakan Calhanoglu,Bayer Leverkusen,AC Milan,22.0,2016
178,Nikola Milenkovic,Partizan,Fiorentina,5.1,2016
179,Juan Cuadrado,Chelsea,Juventus,20.0,2016
180,Andre Silva,FC Porto,AC Milan,38.0,2016
184,Mario Rui,Empoli,Roma,6.0,2016
185,Giancarlo Gonzales,Palermo,Bologna,2.0,2016
