,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Year,From,To,Price,Price (m)
365,5291,2471,Kieran Trippier,ENG,DF,Tottenham,Premier League,27,1990,27,26,"2,276",25.3,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.6,0.6,4.7,5.3,0.02,0.19,0.21,0.02,0.21,2018,Tottenham,Atletico Madrid,22,22.0
366,5292,2471,Kieran Trippier,ENG,DF,Tottenham,Premier League,27,1990,27,26,"2,276",25.3,1,3,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,0.6,0.6,4.7,5.3,0.02,0.19,0.21,0.02,0.21,2018,Tottenham,Atletico Madrid,22,22.0
367,5300,2479,Anthony Ujah,NGA,FW,Mainz 05,Bundesliga,27,1990,22,6,735,8.2,4,0,4,0,0,2,0,0.49,0.0,0.49,0.49,0.49,3.8,3.8,1.3,5.1,0.46,0.16,0.62,0.46,0.62,2018,Mainz,Union Berlin,1.80,1.8
368,5301,2479,Anthony Ujah,NGA,FW,Mainz 05,Bundesliga,27,1990,22,6,735,8.2,4,0,4,0,0,2,0,0.49,0.0,0.49,0.49,0.49,3.8,3.8,1.3,5.1,0.46,0.16,0.62,0.46,0.62,2018,Mainz,Union Berlin,1.80,1.8
369,5355,2533,Luciano Vietto,ARG,FW,Fulham,Premier League,24,1993,20,10,986,11.0,1,4,1,0,0,1,0,0.09,0.37,0.46,0.09,0.46,2.4,2.4,2.1,4.5,0.22,0.19,0.41,0.22,0.41,2018,Atletico Madrid,Sporting CP,6.75,6.75
370,5356,2533,Luciano Vietto,ARG,FW,Fulham,Premier League,24,1993,20,10,986,11.0,1,4,1,0,0,1,0,0.09,0.37,0.46,0.09,0.46,2.4,2.4,2.1,4.5,0.22,0.19,0.41,0.22,0.41,2018,Atletico Madrid,Sporting CP,6.75,6.75
371,5390,2567,Aaron Wan-Bissaka,ENG,DF,Crystal Palace,Premier League,20,1997,35,35,"3,134",34.8,0,3,0,0,0,4,1,0.0,0.09,0.09,0.0,0.09,0.4,0.4,1.6,2.0,0.01,0.05,0.06,0.01,0.06,2018,Crystal Palace,Manchester United,53,53.0
372,5391,2567,Aaron Wan-Bissaka,ENG,DF,Crystal Palace,Premier League,20,1997,35,35,"3,134",34.8,0,3,0,0,0,4,1,0.0,0.09,0.09,0.0,0.09,0.4,0.4,1.6,2.0,0.01,0.05,0.06,0.01,0.06,2018,Crystal Palace,Manchester United,53,53.0
373,5398,2574,Timothy Weah,USA,FW,Paris S-G,Ligue 1,18,2000,2,1,54,0.6,1,0,1,0,0,1,0,1.67,0.0,1.67,1.67,1.67,0.8,0.8,0.1,0.9,1.33,0.13,1.46,1.33,1.46,2018,PSG,Lille,9,9.0
374,5399,2574,Timothy Weah,USA,FW,Paris S-G,Ligue 1,18,2000,2,1,54,0.6,1,0,1,0,0,1,0,1.67,0.0,1.67,1.67,1.67,0.8,0.8,0.1,0.9,1.33,0.13,1.46,1.33,1.46,2018,PSG,Lille,9,9.0
375,5425,2600,Maximilian Wöber,AUT,DF,Sevilla,La Liga,20,1998,7,6,536,6.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.08,0.03,0.08,2018,Sevilla,RB Salzburg,12,12.0
376,5426,2600,Maximilian Wöber,AUT,DF,Sevilla,La Liga,20,1998,7,6,536,6.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.08,0.03,0.08,2018,Sevilla,RB Salzburg,12,12.0
